"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Median earnings (dollars) for full-time, year-round workers with earnings","Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","2,574,619","27,127","1,534,311","31,573","66,298","260,919","300,247","358,682","220,150","80,848","108,534","107,060","38,784","48,449","","31,329","16,675","22,346","27,786","41,803","51,855"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,574,619","(X)","1,534,311","2.1%","4.3%","17.0%","19.6%","23.4%","14.3%","5.3%","7.1%","7.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","453,769","35,999","294,847","4,333","7,678","26,766","47,364","72,021","53,940","18,119","32,974","31,652","47,133","59,776","","41,527","29,167","36,102","39,714","50,270","61,798"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","453,769","(X)","294,847","1.5%","2.6%","9.1%","16.1%","24.4%","18.3%","6.1%","11.2%","10.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","249,550","41,686","175,873","2,715","2,988","13,028","24,504","36,719","33,646","13,248","23,398","25,627","51,563","66,642","","49,794","38,040","41,812","48,709","60,567","71,956"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","249,550","(X)","175,873","1.5%","1.7%","7.4%","13.9%","20.9%","19.1%","7.5%","13.3%","14.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","204,219","30,726","118,974","1,618","4,690","13,738","22,860","35,302","20,294","4,871","9,576","6,025","40,964","49,627","","35,261","20,294","26,370","31,619","42,840","58,252"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","204,219","(X)","118,974","1.4%","3.9%","11.5%","19.2%","29.7%","17.1%","4.1%","8.0%","5.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,203,075","31,982","3,921,787","58,004","107,985","463,661","679,589","844,262","661,230","278,224","399,078","429,754","45,723","58,566","","37,915","22,520","30,480","35,295","51,684","66,321"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,203,075","(X)","3,921,787","1.5%","2.8%","11.8%","17.3%","21.5%","16.9%","7.1%","10.2%","11.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,208,045","39,819","2,219,737","28,587","47,284","205,851","322,419","451,833","403,458","172,452","262,547","325,306","51,000","66,098","","45,585","27,953","36,837","42,346","62,492","80,739"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,208,045","(X)","2,219,737","1.3%","2.1%","9.3%","14.5%","20.4%","18.2%","7.8%","11.8%","14.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,995,030","26,728","1,702,050","29,417","60,701","257,810","357,170","392,429","257,772","105,772","136,531","104,448","39,774","48,743","","31,428","15,507","23,063","30,092","42,453","57,638"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,995,030","(X)","1,702,050","1.7%","3.6%","15.1%","21.0%","23.1%","15.1%","6.2%","8.0%","6.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,965,736","30,479","1,286,434","26,634","53,514","198,868","236,990","278,520","189,198","79,681","103,889","119,140","40,713","53,261","","35,198","24,007","27,987","32,900","46,203","56,850"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,965,736","(X)","1,286,434","2.1%","4.2%","15.5%","18.4%","21.7%","14.7%","6.2%","8.1%","9.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,044,233","35,769","733,260","12,239","23,697","90,048","121,011","148,583","117,665","52,106","73,714","94,197","46,114","61,092","","41,370","27,556","34,479","41,256","57,888","71,381"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,044,233","(X)","733,260","1.7%","3.2%","12.3%","16.5%","20.3%","16.0%","7.1%","10.1%","12.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","921,503","25,036","553,174","14,395","29,817","108,820","115,979","129,937","71,533","27,575","30,175","24,943","35,488","42,881","","29,765","16,799","21,649","26,928","38,957","47,729"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","921,503","(X)","553,174","2.6%","5.4%","19.7%","21.0%","23.5%","12.9%","5.0%","5.5%","4.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,220,539","32,137","1,327,538","22,542","31,450","158,695","212,287","283,291","204,902","91,031","147,632","175,708","46,814","61,139","","37,424","24,475","30,352","35,272","48,567","64,380"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,220,539","(X)","1,327,538","1.7%","2.4%","12.0%","16.0%","21.3%","15.4%","6.9%","11.1%","13.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,163,607","37,715","768,789","9,997","16,470","75,622","113,020","154,365","120,705","55,882","97,049","125,679","50,965","66,971","","43,674","30,048","34,671","41,621","57,483","81,466"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,163,607","(X)","768,789","1.3%","2.1%","9.8%","14.7%","20.1%","15.7%","7.3%","12.6%","16.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,056,932","27,107","558,749","12,545","14,980","83,073","99,267","128,926","84,197","35,149","50,583","50,029","41,572","53,114","","31,712","18,077","24,289","29,396","40,725","54,444"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,056,932","(X)","558,749","2.2%","2.7%","14.9%","17.8%","23.1%","15.1%","6.3%","9.1%","9.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,846,191","35,000","4,399,498","69,137","112,997","467,923","686,391","930,794","730,949","321,176","475,063","605,068","48,275","63,840","","40,695","24,849","31,485","36,835","51,950","70,080"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,846,191","(X)","4,399,498","1.6%","2.6%","10.6%","15.6%","21.2%","16.6%","7.3%","10.8%","13.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,565,573","41,182","2,488,321","39,898","49,714","212,585","321,920","503,244","429,617","195,081","300,058","436,204","52,111","71,792","","47,360","30,249","38,702","44,994","63,953","84,678"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,565,573","(X)","2,488,321","1.6%","2.0%","8.5%","12.9%","20.2%","17.3%","7.8%","12.1%","17.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,280,618","29,255","1,911,177","29,239","63,283","255,338","364,471","427,550","301,332","126,095","175,005","168,864","41,929","53,486","","33,483","17,278","25,123","31,040","43,971","60,619"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,280,618","(X)","1,911,177","1.5%","3.3%","13.4%","19.1%","22.4%","15.8%","6.6%","9.2%","8.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","598,833","36,278","369,617","3,472","8,185","36,232","53,007","71,667","64,150","30,860","45,518","56,526","51,286","65,698","","42,886","24,243","34,055","39,598","55,749","75,258"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","598,833","(X)","369,617","0.9%","2.2%","9.8%","14.3%","19.4%","17.4%","8.3%","12.3%","15.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","307,237","42,084","206,856","1,833","4,777","15,822","26,275","35,570","39,525","16,776","25,097","41,181","55,183","72,715","","50,542","29,326","40,926","50,520","66,256","87,016"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","307,237","(X)","206,856","0.9%","2.3%","7.6%","12.7%","17.2%","19.1%","8.1%","12.1%","19.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","291,596","30,413","162,761","1,639","3,408","20,410","26,732","36,097","24,625","14,084","20,421","15,345","46,146","56,781","","37,357","19,427","26,028","33,766","50,376","69,947"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","291,596","(X)","162,761","1.0%","2.1%","12.5%","16.4%","22.2%","15.1%","8.7%","12.5%","9.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,544,958","30,021","1,651,116","36,794","61,367","268,194","319,488","341,582","241,657","94,465","123,930","163,639","40,486","53,926","","33,596","20,823","27,178","31,865","46,928","56,616"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,544,958","(X)","1,651,116","2.2%","3.7%","16.2%","19.3%","20.7%","14.6%","5.7%","7.5%","9.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,302,684","34,621","915,643","17,275","26,182","118,309","158,737","181,385","139,294","63,973","83,623","126,865","45,477","62,032","","40,847","23,162","31,622","40,901","60,700","74,226"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,302,684","(X)","915,643","1.9%","2.9%","12.9%","17.3%","19.8%","15.2%","7.0%","9.1%","13.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,242,274","25,125","735,473","19,519","35,185","149,885","160,751","160,197","102,363","30,492","40,307","36,774","35,142","43,835","","29,266","16,819","22,153","26,435","37,108","50,251"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,242,274","(X)","735,473","2.7%","4.8%","20.4%","21.9%","21.8%","13.9%","4.1%","5.5%","5.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","494,631","31,333","319,347","5,549","7,486","42,467","65,262","79,847","53,659","17,018","21,996","26,063","41,125","53,063","","35,955","25,976","30,721","34,346","44,805","57,922"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","494,631","(X)","319,347","1.7%","2.3%","13.3%","20.4%","25.0%","16.8%","5.3%","6.9%","8.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","263,948","37,012","184,576","2,998","2,581","18,435","30,810","46,749","35,078","11,328","16,250","20,347","46,170","59,957","","41,977","30,576","36,468","42,125","53,522","64,227"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","263,948","(X)","184,576","1.6%","1.4%","10.0%","16.7%","25.3%","19.0%","6.1%","8.8%","11.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","230,683","26,397","134,771","2,551","4,905","24,032","34,452","33,098","18,581","5,690","5,746","5,716","35,424","43,622","","30,044","17,612","22,968","27,712","38,297","51,561"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","230,683","(X)","134,771","1.9%","3.6%","17.8%","25.6%","24.6%","13.8%","4.2%","4.3%","4.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,452,753","30,994","2,291,421","37,474","85,907","351,669","427,103","514,590","334,439","134,092","177,920","228,227","40,856","55,721","","35,588","21,842","28,641","33,632","46,779","60,242"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,452,753","(X)","2,291,421","1.6%","3.7%","15.3%","18.6%","22.5%","14.6%","5.9%","7.8%","10.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,795,840","35,552","1,281,608","18,335","35,561","173,319","212,693","273,364","198,850","83,949","116,404","169,133","45,032","62,991","","40,701","25,270","32,751","41,099","57,168","74,400"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,795,840","(X)","1,281,608","1.4%","2.8%","13.5%","16.6%","21.3%","15.5%","6.6%","9.1%","13.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,656,913","26,596","1,009,813","19,139","50,346","178,350","214,410","241,226","135,589","50,143","61,516","59,094","36,812","46,495","","30,686","17,139","23,137","28,981","40,516","51,957"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,656,913","(X)","1,009,813","1.9%","5.0%","17.7%","21.2%","23.9%","13.4%","5.0%","6.1%","5.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,509,731","32,264","9,832,100","183,066","381,320","1,445,608","1,580,433","1,865,627","1,525,930","588,298","911,374","1,350,444","44,803","60,977","","38,425","22,860","30,398","36,452","54,211","70,427"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,509,731","(X)","9,832,100","1.9%","3.9%","14.7%","16.1%","19.0%","15.5%","6.0%","9.3%","13.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,869,726","38,129","5,736,476","88,355","170,177","726,644","862,760","1,043,707","856,524","361,024","601,649","1,025,636","49,414","69,201","","44,510","27,461","35,866","44,803","66,875","90,237"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,869,726","(X)","5,736,476","1.5%","3.0%","12.7%","15.0%","18.2%","14.9%","6.3%","10.5%","17.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,640,005","27,150","4,095,624","94,711","211,143","718,964","717,673","821,920","669,406","227,274","309,725","324,808","40,236","49,458","","31,689","16,141","23,463","30,493","48,263","59,020"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,640,005","(X)","4,095,624","2.3%","5.2%","17.6%","17.5%","20.1%","16.3%","5.5%","7.6%","7.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,652,294","31,046","1,000,497","15,119","27,618","118,077","171,788","204,558","161,494","66,822","102,047","132,974","46,354","60,921","","38,828","27,134","31,280","34,534","47,092","70,156"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,652,294","(X)","1,000,497","1.5%","2.8%","11.8%","17.2%","20.4%","16.1%","6.7%","10.2%","13.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","910,551","40,450","637,321","8,140","14,354","59,912","88,459","117,104","107,701","50,399","79,992","111,260","52,249","69,057","","50,165","32,489","39,468","44,477","62,050","86,010"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","910,551","(X)","637,321","1.3%","2.3%","9.4%","13.9%","18.4%","16.9%","7.9%","12.6%","17.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","741,743","22,448","363,176","6,979","13,264","58,165","83,329","87,454","53,793","16,423","22,055","21,714","37,252","46,642","","28,697","19,551","24,137","26,263","33,577","53,325"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","741,743","(X)","363,176","1.9%","3.7%","16.0%","22.9%","24.1%","14.8%","4.5%","6.1%","6.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","367,977","31,457","216,778","4,142","5,413","25,538","37,333","48,222","40,051","14,738","21,035","20,306","45,574","56,977","","37,444","25,372","30,991","35,381","40,592","58,628"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","367,977","(X)","216,778","1.9%","2.5%","11.8%","17.2%","22.2%","18.5%","6.8%","9.7%","9.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","186,819","35,578","119,251","1,918","2,686","12,541","17,844","25,731","24,350","7,474","12,686","14,021","48,924","61,960","","42,127","29,130","35,257","42,941","47,438","70,355"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","186,819","(X)","119,251","1.6%","2.3%","10.5%","15.0%","21.6%","20.4%","6.3%","10.6%","11.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","181,158","27,410","97,527","2,224","2,727","12,997","19,489","22,491","15,701","7,264","8,349","6,285","41,976","50,883","","32,680","16,699","24,168","30,019","36,220","54,323"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","181,158","(X)","97,527","2.3%","2.8%","13.3%","20.0%","23.1%","16.1%","7.4%","8.6%","6.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,686,351","37,483","3,124,136","47,120","86,536","345,573","409,216","578,395","474,271","218,105","350,352","614,568","51,594","70,206","","44,823","24,777","31,165","37,428","58,191","80,946"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,686,351","(X)","3,124,136","1.5%","2.8%","11.1%","13.1%","18.5%","15.2%","7.0%","11.2%","19.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,450,381","45,226","1,770,849","24,196","36,225","160,428","196,544","305,788","270,057","130,201","218,043","429,367","57,690","78,756","","51,850","30,904","37,029","47,267","71,921","101,801"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,450,381","(X)","1,770,849","1.4%","2.0%","9.1%","11.1%","17.3%","15.3%","7.4%","12.3%","24.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,235,970","31,126","1,353,287","22,924","50,311","185,145","212,672","272,607","204,214","87,904","132,309","185,201","45,692","59,018","","36,665","17,506","24,353","31,167","48,181","62,699"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,235,970","(X)","1,353,287","1.7%","3.7%","13.7%","15.7%","20.1%","15.1%","6.5%","9.8%","13.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,038,281","38,437","2,526,056","31,394","51,167","221,888","331,774","474,428","401,112","196,923","323,252","494,118","54,477","72,427","","45,115","25,668","34,196","39,947","59,662","76,407"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,038,281","(X)","2,526,056","1.2%","2.0%","8.8%","13.1%","18.8%","15.9%","7.8%","12.8%","19.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,174,112","46,620","1,496,397","16,358","26,570","105,215","170,856","253,243","235,432","117,504","203,869","367,350","60,893","81,093","","52,440","30,913","41,021","49,972","72,369","95,337"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,174,112","(X)","1,496,397","1.1%","1.8%","7.0%","11.4%","16.9%","15.7%","7.9%","13.6%","24.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,864,169","31,202","1,029,659","15,036","24,597","116,673","160,918","221,185","165,680","79,419","119,383","126,768","47,681","59,833","","36,199","19,250","26,326","31,782","47,667","65,067"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,864,169","(X)","1,029,659","1.5%","2.4%","11.3%","15.6%","21.5%","16.1%","7.7%","11.6%","12.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","818,645","28,937","514,345","9,829","19,067","80,745","97,302","105,884","80,052","31,329","45,244","44,893","40,985","51,941","","32,951","20,106","27,296","32,200","43,516","53,919"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","818,645","(X)","514,345","1.9%","3.7%","15.7%","18.9%","20.6%","15.6%","6.1%","8.8%","8.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","431,862","35,166","292,685","5,509","9,534","35,461","45,987","56,466","51,109","20,971","33,362","34,286","47,425","59,048","","40,844","24,891","35,349","43,002","51,607","66,581"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","431,862","(X)","292,685","1.9%","3.3%","12.1%","15.7%","19.3%","17.5%","7.2%","11.4%","11.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","386,783","24,036","221,660","4,320","9,533","45,284","51,315","49,418","28,943","10,358","11,882","10,607","35,078","42,557","","27,047","13,540","21,797","26,382","37,498","50,329"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","386,783","(X)","221,660","1.9%","4.3%","20.4%","23.2%","22.3%","13.1%","4.7%","5.4%","4.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,272,953","34,841","2,088,360","31,168","48,776","222,007","329,383","485,949","379,576","158,761","213,295","219,445","46,773","59,636","","40,653","26,564","32,020","37,359","51,162","65,006"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,272,953","(X)","2,088,360","1.5%","2.3%","10.6%","15.8%","23.3%","18.2%","7.6%","10.2%","10.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,703,639","41,180","1,195,092","15,875","23,488","97,879","153,675","265,411","231,756","100,415","143,982","162,611","51,346","66,993","","47,202","30,896","39,442","46,582","61,790","78,503"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,703,639","(X)","1,195,092","1.3%","2.0%","8.2%","12.9%","22.2%","19.4%","8.4%","12.0%","13.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,569,314","28,623","893,268","15,293","25,288","124,128","175,708","220,538","147,820","58,346","69,313","56,834","40,930","49,795","","33,411","19,553","25,014","30,953","43,302","57,612"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,569,314","(X)","893,268","1.7%","2.8%","13.9%","19.7%","24.7%","16.5%","6.5%","7.8%","6.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","320,725","32,885","199,117","5,190","6,451","20,912","33,225","42,762","34,273","14,354","25,445","16,505","46,767","57,282","","39,090","31,014","31,147","36,220","47,546","58,518"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","320,725","(X)","199,117","2.6%","3.2%","10.5%","16.7%","21.5%","17.2%","7.2%","12.8%","8.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","175,597","40,838","117,071","2,957","3,195","10,576","14,441","23,772","19,909","8,277","20,007","13,937","51,948","65,981","","47,596","37,998","40,856","46,173","52,196","65,058"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","175,597","(X)","117,071","2.5%","2.7%","9.0%","12.3%","20.3%","17.0%","7.1%","17.1%","11.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
